6.045432793888744882e+00,5.843406507174448983e+00,6.049726292368323044e+00,6.100648659915248295e+00
7.233053775419639564e+00,8.698089794096024008e+00,7.560707939659664589e+00,8.348431810623550220e+00
4.262045496949400381e+00,2.648204688443529964e+00,4.452011065299911863e+00,3.044912664548430126e+00
3.956983050982922911e+00,3.228705156341503013e+00,3.730876734454484200e+00,3.242772541787712459e+00
3.783372881293885381e+00,3.433568514348238843e+00,3.568395069873905090e+00,3.293903140829808063e+00
3.710538029884824951e+00,3.424891304229205513e+00,3.546812299342815944e+00,3.261594913429065379e+00
3.679425683141485326e+00,3.381507421134804847e+00,3.467950224224895184e+00,3.262144958588732546e+00
3.637375787126897464e+00,3.341917648905095906e+00,3.394116082426926528e+00,3.257057274723674567e+00
3.588901333311615094e+00,3.309677650752536948e+00,3.349382790994615444e+00,3.242377622732398823e+00
3.542218107665707105e+00,3.293145577058378848e+00,3.322172642022820810e+00,3.233190334755084994e+00
3.502872514022574268e+00,3.292250958675522199e+00,3.308371994674838668e+00,3.234548912023030631e+00
3.475446056538193051e+00,3.303950505289949824e+00,3.304912438101131222e+00,3.247999267980698157e+00
3.460458914042058964e+00,3.324591240930153901e+00,3.310778185196265433e+00,3.271439763999429040e+00
3.452432418804824987e+00,3.350624131842822706e+00,3.328316418551676037e+00,3.298502614279416711e+00
3.451944574175604075e+00,3.381098079368007880e+00,3.350861863635909987e+00,3.330963825546582768e+00
3.458499975537268067e+00,3.413358500203764301e+00,3.376626212491248502e+00,3.366839218068160555e+00
3.470457945152726875e+00,3.445400453900489435e+00,3.404445842361103036e+00,3.403705955690855323e+00
3.485922482611392592e+00,3.475890992169337945e+00,3.433277740204584205e+00,3.439576925217948666e+00
3.503308254762732332e+00,3.504028623257530395e+00,3.462069282662014746e+00,3.473167806204861208e+00
3.521941402630150986e+00,3.529471455232279009e+00,3.489395819078685790e+00,3.504234120331958025e+00
3.540877514970039108e+00,3.551921721907429941e+00,3.514898942108298119e+00,3.532145375627272266e+00
3.558752593832452682e+00,3.571340164522825322e+00,3.538835215959935887e+00,3.556139257829523004e+00
3.575382073412387562e+00,3.588153092359251950e+00,3.560376611800191604e+00,3.576860402991147492e+00
3.591292090427693928e+00,3.602707088736985419e+00,3.578764001000343420e+00,3.595233491881829835e+00
3.605680630873373982e+00,3.614989217679739131e+00,3.595099428568467648e+00,3.610602461997928891e+00
3.618423933911175894e+00,3.625440804259331795e+00,3.609315317718480465e+00,3.623448625730697259e+00
3.629589143626419823e+00,3.634392362452202541e+00,3.621500496633429655e+00,3.634198000780173743e+00
3.639102292975167074e+00,3.642068511805451880e+00,3.632033723942255765e+00,3.643000082884881863e+00
3.647266355753470357e+00,3.648751857089590267e+00,3.640862820996998206e+00,3.650375601838275585e+00
3.655076408605767213e+00,3.654710598310878744e+00,3.647391264423780033e+00,3.657341466511052186e+00
3.660864947846953932e+00,3.659557977274769058e+00,3.654059871635825907e+00,3.662005979163616587e+00
3.685206173127222762e+00,3.667140588111548194e+00,3.639494118357047281e+00,3.684998161735321354e+00
3.673217774439843986e+00,3.664282334006541575e+00,3.669171056589500601e+00,3.665331192592096166e+00
3.673988557764328977e+00,3.669511888691684209e+00,3.669725315043405267e+00,3.670214147977702179e+00
3.676451467280510421e+00,3.673944798090395203e+00,3.670128920009584572e+00,3.674737574664081130e+00
3.678585702807586788e+00,3.676783921041395065e+00,3.672244988169333091e+00,3.676929202207438241e+00
3.680436441513308843e+00,3.678949839319291204e+00,3.674257208535815611e+00,3.678471452908256278e+00
3.681976979084048640e+00,3.680724029083461524e+00,3.675934392961094144e+00,3.679729929385100906e+00
3.683270668262074832e+00,3.682179454689132214e+00,3.677300857469168793e+00,3.680806683682989799e+00
3.683740105615762150e+00,3.683253141291329413e+00,3.679062031498656182e+00,3.681128943082341287e+00
3.684503477664101467e+00,3.684263101280874420e+00,3.679881939118004652e+00,3.682011910875734984e+00
3.685197870990553515e+00,3.685024622442570230e+00,3.680637822208825849e+00,3.682747751800381941e+00
3.685807716843547244e+00,3.685587264115851358e+00,3.681318609741323300e+00,3.683376149769869379e+00
